title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Detectorists,2014–2022,"TV Series,30,m",8.6,15K,"Comedy,Back to top",Mackenzie Crook,"Mackenzie Crook,Toby Jones,Gerard Horan,Pearce Quigley,Divian Ladwa,Rachael Stirling,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill",2014–2022,,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime."
Endeavour,2012–2022,"TV Series,1,h, ,29,m",8.6,27K,"Crime,Drama,Mystery,Back to top",Shaun Evans,"Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Shvorne Marks,Lewis Peek,Simon Harrison,Carol Royle,Richard Riddell,Mark Arden,Flora London",2012–2022,,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford."
Fullmetal Alchemist,2003–2004,"TV Series,24,m",8.5,71K,"Animation,Action,Adventure,Back to top",Vic Mignogna,"Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Maria Tamar,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto",2003–2004,,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone."
Neon Genesis Evangelion,1995–1996,"TV Series,24,m",8.5,71K,"Animation,Action,Drama,Back to top",Hideaki Anno,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith-Shipp,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Carrie Keranen,Casey Mongillo,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",1995–1996,,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
Extraordinary Attorney Woo,2022,"TV Series,1,h, ,15,m",8.7,14K,"Drama,Back to top",Park Eun-bin,"Park Eun-bin,Kang Tae-oh,Kang Ki-young,Jeon Bae-soo,Halley Kim,Ha Yoon-kyung,Ren Hanami,Eugene Young,Joo Jong-hyuk,Nick Martineau,Jin Kyung,Joo Hyun-young,Baek Ji-won,Edward Hong,Im Sung-jae,Anzu Lawson,Darren Keilan,Lee Doo-seok",2022,,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school."
Doctor Who,2005– ,"TV Series,45,m",8.6,226K,"Adventure,Drama,Sci-Fi,Back to top",Sydney Newman,"Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Simon Carew,Arthur Darvill,Bradley Walsh,Barnaby Edwards,Tosin Cole,Ruari Mears",2005– ,,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
Sons of Anarchy,2008–2014,"TV Series,45,m",8.6,298K,"Crime,Drama,Thriller,Back to top",Kurt Sutter,"Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo",2008–2014,,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
North & South,2004,"TV Mini Series,3,h, ,55,m",8.6,33K,"Drama,Romance,Back to top",Daniela Denby-Ashe,"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown",2004,,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton."
Mob Psycho 100,2016– ,"TV Series,24,m",8.6,33K,"Animation,Action,Comedy,Back to top",Setsuo Ito,"Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Kyle McCarley,Chris Niosi,Michael Sorich,Miyu Irino,Max Mittelman,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Patrick Seitz,Yoshimasa Hosoya,Erik Scott Kimerer,Daiki Hamano,Seiichiro Yamashita,Cherami Leigh,Toshihiko Seki,Kôhei Amasaki",2016– ,,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
Brass Eye,1997–2001,"TV Series,25,m",8.6,11K,"Comedy,Back to top",Christopher Morris,"Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz",1997–2001,,"Controversal spoof of current affairs television, and the role of celebrity in the UK."
Samurai Jack,2001–2017,"TV Series,25,m",8.5,54K,"Animation,Action,Adventure,Back to top",Genndy Tartakovsky,"Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,Grey Griffin,Tara Strong,Tom Kenny,Daran Norris,Greg Baldwin,John DiMaggio,Jennifer Hale,Dee Bradley Baker,Sab Shimono,Richard McGonagle,Lauren Tom,Keone Young,Rob Paulsen,Clyde Kusatsu",2001–2017,,"A samurai, sent through time, fights to return home and save the world."
Spartacus,2010–2013,"TV Series,55,m",8.5,243K,"Action,Adventure,Biography,Back to top",Steven S. DeKnight,"Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker",2010–2013,,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
Skam,2015–2017,"TV Series,30,m",8.6,35K,"Drama,Romance,Back to top",Julie Andem,"Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi",2015–2017,,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view."
Ezel,2009–2011,"TV Series,1,h, ,30,m",8.7,33K,"Crime,Drama,Thriller,Back to top",Kenan Imirzalioglu,"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,Tuncel Kurtiz,Bade Iscil,Sarp Akkaya,Bayazit Gülercan,Ipek Bilgin,Nurhan Özenen,Baris Serma,Ataberk Ural,Burçin Terzioglu,Riza Kocaoglu,Salih Kalyon,Kemal Uçar,Levent Can,Mert Akbas",2009–2011,,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
Shameless,2011–2021,"TV Series,46,m",8.6,244K,"Comedy,Drama,Back to top",Paul Abbott,"Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",2011–2021,,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Westworld,2016–2022,"TV Series,1,h, ,2,m",8.5,505K,"Drama,Mystery,Sci-Fi,Back to top",Lisa Joy,"Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Aaron Paul,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Ingrid Bolsø Berdal",2016–2022,,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
Whose Line Is It Anyway?,1998–2007,"TV Series,30,m",8.5,44K,"Comedy,Game-Show,Back to top",Mark Leveson,"Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,Wayne Brady,Linda Taylor,Greg Proops,Brad Sherwood,Cece Worrall Rubin,Charles Esten,Kathryn Greenwood,Denny Siegel,Anne King,Jeff Bryan Davis,Anna Wanselius,Kathy Griffin,Karen Maruyama,Whoopi Goldberg",1998–2007,,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.
Through the Wormhole,2010–2017,"TV Series,1,h",8.6,18K,"Documentary,Back to top",Morgan Freeman,"Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,Carlos Frenk,Max Tegmark,Lee Smolin,Paul Davies,Janna Levin,Frank Tipler,Frank Close,Michael Persinger,Paul Steinhardt,Andy Albrecht,Will Wright,Alan Guth,Steve Nahn,David Spergel",2010–2017,,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ..., "
I'm Alan Partridge,1997–2002,"TV Series,29,m",8.6,21K,"Comedy,Back to top",Steve Coogan,"Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Rob Brydon",1997–2002,,"Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career."
Letterkenny,2016– ,"TV Series,30,m",8.7,23K,"Comedy,Back to top",Jared Keeso,"Jared Keeso,Nathan Dales,Michelle Mylett,K. Trevor Wilson,Dylan Playfair,Andrew Herr,Tyler Johnston,Evan Stern,Lisa Codrington,Patrick McNeil,Kamilla Kowal,Jacob Tierney,Dan Petronijevic,Mark Forward,Jay Bertin,Joel Gagne,Clark Backo,Kaniehtiio Horn",2016– ,,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
The Office,2001–2003,"TV Series,30,m",8.5,114K,"Comedy,Drama,Back to top",Ricky Gervais,"Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Ralph Ineson,Stirling Gallacher",2001–2003,,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.
Mr. Robot,2015–2019,"TV Series,49,m",8.6,388K,"Crime,Drama,Thriller,Back to top",Sam Esmail,"Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm",2015–2019,,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
Samurai Champloo,2004–2005,"TV Series,24,m",8.6,49K,"Animation,Action,Adventure,Back to top",Kazuya Nakai,"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Steve Kramer,Paul St. Peter,Kim Strauss,Doug Erholtz",2004–2005,,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
Louie,2010–2015,"TV Series,22,m",8.5,79K,"Comedy,Drama,Back to top",Louis C.K.,"Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Deanna Mustard,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin,Parker Posey",2010–2015,,"The life of Louie C.K., a divorced comedian living in New York with two kids."
The IT Crowd,2006–2013,"TV Series,25,m",8.5,153K,"Comedy,Back to top",Chris O'Dowd,"Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor",2006–2013,,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
Black Sun,2017– ,"TV Series,1,h",8.9,12K,"Crime,Drama,Thriller,Back to top",Dragan Bjelogrlic,"Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic",2017– ,,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together."
The Bureau,2015– ,"TV Series,52,m",8.7,12K,"Drama,Thriller,Back to top",Eric Rochant,"Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï,Sara Giraudeau,Jules Sagot,Zineb Triki,Jean-Pierre Darroussin,Irina Muluile,Gilles Cohen,Artus,Alexandre Brasseur,Patrick Ligardes,Léa Drucker,Mathieu Amalric,Aleksey Gorbunov,Michaël Abiteboul,Pauline Etienne,Anne Azoulay",2015– ,,"After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria."
"Yes, Prime Minister",1986–1987,"TV Series,30,m",8.6,12K,"Comedy,Back to top",Paul Eddington,"Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Clive Francis,Frank Middlemass,Michael Aldridge,John Wells,John Barron",1986–1987,,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.
What We Do in the Shadows,2019– ,"TV Series,30,m",8.6,78K,"Comedy,Fantasy,Horror,Back to top",Jemaine Clement,"Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Anthony Atamanuik,Doug Jones,Parisa Fakhri,Violet Tinnirello,Anoop Desai,Veronika Slowikowska,Chris Sandiford,Jean-Michel Richaud,Liam McKenna,Jake McDorman,Beanie Feldstein,Jason Sklar",2019– ,,A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.
The Family Man,2019– ,"TV Series,45,m",8.7,88K,"Action,Comedy,Drama,Back to top",Krishna D.K.,"Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh",2019– ,,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
El Chavo del Ocho,1972–1983,"TV Series,30,m",8.7,10K,"Comedy,Family,Back to top",Roberto Gómez Bolaños,"Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños,María Antonieta de las Nieves,Florinda Meza,Edgar Vivar,Rubén Aguirre,Angelines Fernández,Horacio Gómez Bolaños,Ricardo de Pascual,Maribel Fernández,Olivia Leyva,Raúl 'Chato' Padilla,Ana Lilian De La Macorra,Rosita Bouchot,Patty Juarez,Beatriz Moreno,Enrique Segoviano",1972–1983,,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood."
The Venture Bros.,2003–2018,"TV Series,22,m",8.6,26K,"Animation,Action,Adventure,Back to top",Christopher McCulloch,"Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",2003–2018,,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
Long Way Round,2004–2010,"TV Mini Series,5,h, ,15,m",8.6,14K,"Documentary,Adventure,Back to top",David Alexanian,"Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Kinvara Boorman,Doone Boorman,Jim McGregor,John Boorman,Carol McGregor,Christel Kruse Boorman,Daisy Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.",2004–2010,,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman."
Battlestar Galactica,2003,"TV Mini Series,3,h, ,3,m",8.5,76K,"Action,Adventure,Drama,Back to top",Edward James Olmos,"Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani",2003,,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth."
Spaced,1999–2001,"TV Series,25,m",8.6,55K,"Action,Comedy,Back to top",Simon Pegg,"Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland",1999–2001,,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford."
Coupling,2000–2004,"TV Series,30,m",8.6,46K,"Comedy,Romance,Back to top",Jack Davenport,"Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Raji James,William Scott-Masson",2000–2004,,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.
Homicide: Life on the Street,1993–1999,"TV Series,1,h",8.7,13K,"Crime,Drama,Mystery,Back to top",Paul Attanasio,"Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Toni Lewis,Isabella Hofmann,Callie Thorne,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty",1993–1999,,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.
Dragon Ball,1986–1989,"TV Series,24,m",8.6,58K,"Animation,Action,Adventure,Back to top",Masako Nozawa,"Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Naoki Tatsuta,Mami Koyama,Kenji Utsumi,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Aono,Tesshô Genda,Hiroko Emori,Shigeru Chiba",1986–1989,,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
Chainsaw Man,2022– ,"TV Series,25,m",8.8,15K,"Animation,Action,Adventure,Back to top",Kikunosuke Toya,"Kikunosuke Toya,Ryan Colt Levy,Tomori Kusunoki,Shogo Sakata,Suzie Yeung,Reagan Murdock,Fairouz Ai,Sarah Wiedenheft,Mariya Ise,Katelyn Barr,Karin Takahashi,Taku Yashiro,Bryn Apprill,Jarrod Greene,Shiori Izawa,Hironori Kondo,Noriyuki Tsuyuki,Koichi Soma",2022– ,,"Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils."
Justice League,2001–2004,"TV Series,22,m",8.6,47K,"Animation,Action,Adventure,Back to top",Bob Kane,"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",2001–2004,,Seven of the most formidable heroes form arguably the most powerful team ever.
The Offer,2022,"TV Mini Series,9,h, ,46,m",8.7,24K,"Biography,Drama,Back to top",Leslie Greif,"Miles Teller,Matthew Goode,Dan Fogler,Burn Gorman,Colin Hanks,Giovanni Ribisi,Juno Temple,Jake Cannavale,Lou Ferrigno,Josh Zuckerman,Anthony Ippolito,Meredith Garretson,Patrick Gallo,Joseph Russo,Anthony Skordi,Eric Balfour,Paul McCrane,Annie Funke",2022,,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).
Flight of the Conchords,2007–2009,"TV Series,28,m",8.6,62K,"Comedy,Music,Musical,Back to top",James Bobin,"Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari",2007–2009,,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
Impractical Jokers,2011– ,"TV Series,30,m",8.6,41K,"Comedy,Reality-TV,Back to top",James Murray,"James Murray,Brian Quinn,Sal Vulcano,Joe Gatto,Casey Jost,Rob Emmer,Drew Patterson,Frank Contacessa,Joey Fatone,John Szeluga,Bill St. James,Cole Weber,Joe Imburgio,Jay Miller,Daniel Cast,Bryan Johnson,Sharron Paul,Chavon Deberry",2011– ,,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera."
Formula 1: Drive to Survive,2019– ,"TV Series,40,m",8.6,41K,"Documentary,Sport,Back to top",Will Buxton,"Will Buxton,Jack Nicholls,Lewis Hamilton,Sebastian Vettel,Charles Leclerc,Sergio Pérez,Max Verstappen,Daniel Ricciardo,Carlos Sainz,Valtteri Bottas,Kimi Räikkönen,Kevin Magnussen,Pierre Gasly,Lance Stroll,Esteban Ocon,Lando Norris,George Russell,Toto Wolff",2019– ,,Docuseries following the FIA Formula One World Championship across multiple seasons.
Dragon Ball,1995–2003,"TV Series,24,m",8.6,60K,"Animation,Action,Adventure,Back to top",Brice Armstrong,"Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber",1995–2003,,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
Crash Landing on You,2019–2020,"TV Series,1,h, ,10,m",8.7,30K,"Adventure,Comedy,Romance,Back to top",Hyun Bin,"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Kim Jung-nan,Jang So-yeon,Oh Man-seok,Cha Cheong-hwa,Go Gyu-pil,Park Hyoung-soo,Park Myeong-hoon,Kim Young-min,Hwang Woo-seul-hye",2019–2020,,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
The Queen's Gambit,2020,"TV Mini Series,1,h",8.6,448K,"Drama,Back to top",Scott Frank,"Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari",2020,,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
The Bugs Bunny Show,1960–1975,"TV Series,30,m",8.6,34K,"Animation,Comedy,Back to top",Mel Blanc,"Mel Blanc,Pinto Colvig,Joe Bronx,June Foray,Jim Backus,Bea Benaderet,Hal Smith,Daws Butler,Stan Freberg,B.J. Ward,Billy Bletcher,Ben Frommer,Julie Bennett,Joan Gerber,Arthur Q. Bryan",1960–1975,,TV series featuring the classic Looney Tunes animated shorts.
The Haunting of Hill House,2018,"TV Mini Series,9,h, ,32,m",8.6,246K,"Drama,Horror,Mystery,Back to top",Mike Flanagan,"Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Natalia Rosminati,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet",2018,,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
